true_id,true_name,confused_with_id,confused_with_name,same_genus,epochs
1398700,Dryopteris_fragrans,1356382,Dryopteris_filix-mas,False,"[(20, 0.5), (30, 0.5), (40, 0.5), (50, 1.0), (70, 1.0), (80, 0.5), (90, 1.0), (100, 1.0)]"
1398805,Neotinea_conica,1393945,Neotinea_lactea,False,"[(20, 1.0), (30, 1.0), (40, 1.0), (60, 1.0), (70, 1.0), (80, 1.0), (100, 1.0), (110, 1.0)]"
1399063,Alcea_setosa,1359620,Alcea_rosea,False,"[(20, 0.6666666666666666), (30, 0.6666666666666666), (40, 0.3333333333333333), (60, 0.6666666666666666), (80, 1.0), (90, 0.6666666666666666), (100, 1.0), (110, 1.0)]"
1399145,Cucurbita_moschata,1391483,Cucurbita_maxima,False,"[(20, 0.4390243902439024), (30, 0.6341463414634146), (50, 0.3902439024390244), (60, 0.3658536585365853), (80, 0.2195121951219512)]"
1399157,Daphne_sericea,1391652,Daphne_mezereum,False,"[(20, 0.5), (80, 0.5), (110, 0.5)]"
1399384,Rhodothamnus_chamaecistus,1358099,Sedum_brevifolium,False,"[(20, 0.25), (30, 0.25), (40, 0.25), (60, 0.25), (90, 0.25), (100, 0.25)]"
1399783,Schefflera_actinophylla,1408961,Schefflera_arboricola,False,"[(20, 0.7560975609756098), (30, 0.7317073170731707), (40, 0.5853658536585366), (50, 0.4878048780487805), (70, 0.7317073170731707), (80, 0.7317073170731707), (90, 0.6341463414634146), (100, 0.7073170731707317), (110, 0.3902439024390244)]"
1399804,Lavandula_pinnata,1356126,Lavandula_dentata,False,"[(20, 1.0)]"
1358150,Alliaria_petiolata,1392475,Alliaria_petiolata,True,"[(20, 0.8939393939393939), (50, 0.4696969696969697), (90, 0.803030303030303), (100, 0.5303030303030303)]"
1358193,Boscia_angustifolia,1363764,Acacia_dealbata,False,"[(20, 1.0)]"
1358302,Fibigia_clypeata,1393466,Lavandula_latifolia,False,"[(20, 0.3333333333333333), (30, 0.3333333333333333), (40, 0.3333333333333333), (50, 0.3333333333333333), (60, 0.3333333333333333), (70, 0.3333333333333333), (80, 0.3333333333333333), (90, 0.3333333333333333), (100, 0.3333333333333333)]"
1358365,Maerua_angolensis,1356003,Phyllanthus_tenellus,False,"[(20, 1.0), (80, 1.0), (100, 1.0)]"
1358605,Mercurialis_perennis,1358519,Acalypha_virginica,False,"[(20, 0.5164835164835165)]"
1358689,Hypericum_androsaemum,1358699,Hypericum_hircinum,False,"[(20, 0.2529411764705882)]"
1358690,Hypericum_australe,1360427,Oldenlandia_corymbosa,False,"[(20, 0.5)]"
1358691,Hypericum_canariense,1363764,Acacia_dealbata,False,"[(20, 0.5)]"
1358700,Hypericum_hirsutum,1356022,Hypericum_perforatum,False,"[(20, 0.2580645161290322), (70, 0.2258064516129032), (100, 0.2580645161290322), (110, 0.2580645161290322)]"
1358703,Hypericum_linariifolium,1398830,Tetraclinis_articulata,False,"[(20, 0.5)]"
1358704,Hypericum_montanum,1393254,Hypericum_pulchrum,False,"[(20, 0.3333333333333333)]"
1358706,Hypericum_perfoliatum,1356022,Hypericum_perforatum,False,"[(20, 0.2857142857142857), (40, 0.2857142857142857), (60, 0.5714285714285714), (70, 0.5714285714285714), (80, 0.5714285714285714), (90, 0.5714285714285714), (100, 0.5714285714285714), (110, 0.5714285714285714)]"
1358710,Hypericum_tetrapterum,1356022,Hypericum_perforatum,False,"[(20, 0.3529411764705882), (40, 0.2941176470588235), (70, 0.2941176470588235), (110, 0.3529411764705882)]"
1358711,Hypericum_tomentosum,1393968,Noccaea_rotundifolia,False,"[(20, 0.5)]"
1358748,Lamium_bifidum,1393423,Lamium_album,False,"[(20, 0.5), (30, 0.5), (80, 0.5), (90, 0.5), (100, 0.5), (110, 0.5)]"
